Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Engagement_Score,Visit_Category,High_Engagement_Time,Contact_Restricted
Landing Page Submission,Direct Traffic,0,0,0,3.0,73,3.0,Email Opened,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.030343787316950536,Medium (3-10),0,0
API,Google,0,0,0,3.0,28,1.5,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Email Opened,0.015087832317264785,Medium (3-10),0,0
API,Olark Chat,0,0,1,0.0,0,0.0,Email Opened,Unknown,Human Resource Management,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,0,Email Opened,0.0,Low (1-2),0,0
Landing Page Submission,Direct Traffic,0,0,0,3.0,279,3.0,Page Visited on Website,India,Business Administration,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities of Maharashtra,Unknown,Unknown,14.0,16.0,0,1,Modified,0.07565834956948024,Medium (3-10),0,0
API,Olark Chat,0,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Email Opened,0.0,Low (1-2),0,0
API,Google,0,0,0,2.0,70,1.0,SMS Sent,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.021350533174114346,Low (1-2),0,0
API,Google,0,0,0,2.0,4,2.0,SMS Sent,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,13.0,15.0,0,0,Modified,0.010403703936480003,Low (1-2),0,0
API,Google,0,0,0,3.0,562,3.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Thane & Outskirts,02.Medium,02.Medium,13.0,16.0,0,0,Modified,0.13791087926591664,Medium (3-10),1,0
API,Google,0,0,0,3.0,23,1.5,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.013987964301426686,Medium (3-10),0,0
API,Olark Chat,0,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,5.0,1178,5.0,SMS Sent,India,Human Resource Management,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.28293842834098,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,16.0,1253,3.2,Email Link Clicked,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,01.High,01.High,16.0,19.0,0,0,Other,0.3061031152452182,High (11+),1,0
Landing Page Submission,Direct Traffic,0,0,1,2.0,280,2.0,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,02.Medium,01.High,14.0,19.0,0,0,Modified,0.07111641841074309,Low (1-2),0,0
Lead Add Form,Reference,0,0,1,3.0,1010,2.0,Email Opened,Unknown,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,0,0,Unknown,02.Medium,01.High,14.0,19.0,0,0,Modified,0.23288762491358178,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,1,0,1,4.0,1055,4.0,SMS Sent,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.25111977038945804,Medium (3-10),1,1
API,Google,0,0,0,4.0,105,4.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.04214484738021913,Medium (3-10),0,0
Landing Page Submission,Organic Search,0,0,1,5.0,269,5.0,SMS Sent,India,Media and Advertising,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.08298242306161356,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,1.0,1538,1.0,Converted to Lead,India,Other,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Modified,0.3430813064337041,Low (1-2),1,0
Lead Add Form,Reference,0,0,1,0.0,0,0.0,SMS Sent,Unknown,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.0,Low (1-2),0,0
API,Google,0,0,0,2.0,123,2.0,Converted to Lead,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.036580562713426766,Low (1-2),0,0
API,Organic Search,0,0,1,5.0,579,5.0,SMS Sent,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.1511742400435757,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,4.0,257,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.06843797791884021,Medium (3-10),0,0
Landing Page Submission,Organic Search,0,0,0,7.0,481,2.33,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.12246206502838708,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,15.0,1053,5.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,1,Email Opened,0.2673464898497894,High (11+),1,0
Landing Page Submission,Google,0,0,0,4.0,326,4.0,Email Opened,India,Other,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.09075901368026314,Medium (3-10),0,0
API,Google,0,0,0,2.0,122,1.0,Email Opened,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Email Opened,0.032789160538830575,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,4.0,244,4.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.0727211782205183,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,4.0,59,4.0,Page Visited on Website,India,Marketing Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Page Visited on Website,0.03202606163450862,Medium (3-10),0,0
API,Google,0,0,1,7.0,958,1.75,Page Visited on Website,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Page Visited on Website,0.22531804516791318,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,3.0,1357,3.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.3127898937841745,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,4.0,428,4.0,Email Opened,India,"Banking, Investment And Insurance",Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.11319632120336036,Medium (3-10),1,0
Landing Page Submission,Other,0,0,0,3.0,132,3.0,Email Opened,Other,Travel and Tourism,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.043322229903840104,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,7.0,1720,2.33,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,0,Modified,0.39500935935306813,Medium (3-10),1,0
API,Olark Chat,0,0,0,0.0,0,0.0,Email Bounced,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Direct Traffic,0,0,1,3.0,248,1.5,Email Opened,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Cities,02.Medium,01.High,15.0,18.0,0,1,Email Opened,0.06348202501414116,Medium (3-10),0,0
API,Olark Chat,1,0,0,12.0,935,4.0,Page Visited on Website,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Page Visited on Website,0.23424674753315317,High (11+),1,1
Landing Page Submission,Google,0,0,0,5.0,161,5.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.059225273919510615,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,2.0,1095,2.0,Email Opened,India,Human Resource Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.2503949049923533,Low (1-2),1,0
API,Google,0,0,0,2.0,465,2.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.11181153499675278,Low (1-2),1,0
Landing Page Submission,Direct Traffic,0,0,1,6.0,920,2.0,Page Visited on Website,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,1,Page Visited on Website,0.2166614291999246,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,1,3.0,191,3.0,SMS Sent,India,Travel and Tourism,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Metro Cities,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.05630067249072969,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,6.0,94,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,1,0,0,0,0,0,1,0,Ringing,0,0,Other Metro Cities,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.03496323298347055,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,5.0,15,5.0,Email Link Clicked,India,"Banking, Investment And Insurance",Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities of Maharashtra,Unknown,Unknown,14.0,16.0,0,1,Other,0.02710912785703811,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,5.0,6,5.0,Page Visited on Website,India,Operations Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Modified,0.025129365428529532,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,15.0,69,3.0,Other,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Thane & Outskirts,02.Medium,01.High,14.0,19.0,0,0,Modified,0.04374960718999435,High (11+),0,0
Landing Page Submission,Direct Traffic,0,0,1,7.0,1273,7.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.3133597301657135,Medium (3-10),1,0
API,Google,0,0,1,2.0,70,2.0,SMS Sent,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.024921961745542915,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,5.0,676,5.0,SMS Sent,India,Finance Management,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.17251167955083485,Medium (3-10),1,0
API,Google,0,0,0,1.0,192,1.0,Converted to Lead,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Mumbai,02.Medium,01.High,14.0,17.0,0,0,Modified,0.04699683657008778,Low (1-2),0,0
Landing Page Submission,Google,0,0,0,9.0,890,9.0,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Modified,0.23863364967632456,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,0,4.0,365,4.0,Email Opened,India,"Banking, Investment And Insurance",Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.09933798420380031,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,4.0,444,4.0,Email Opened,India,Marketing Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.11671589885404228,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,6.0,789,6.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.20213060147068068,Medium (3-10),1,0
API,Google,0,0,0,5.0,644,5.0,Email Opened,India,IT Projects Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Thane & Outskirts,02.Medium,03.Low,14.0,12.0,0,0,Modified,0.165472524249471,Medium (3-10),1,0
API,Google,0,0,1,3.0,1516,3.0,SMS Sent,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.34776569668782603,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,5.0,129,2.5,Other,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,0,Modified,0.04325754718957535,Medium (3-10),0,0
Landing Page Submission,Google,0,0,1,5.0,251,5.0,SMS Sent,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.0790228982045964,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,4.0,182,4.0,Other,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,0,Modified,0.05908281482412586,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,1,0,0,5.0,215,5.0,Page Visited on Website,India,IT Projects Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.07110384849056209,Medium (3-10),0,1
Landing Page Submission,Google,0,0,0,3.0,26,3.0,Page Visited on Website,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Modified,0.0200050279680724,Medium (3-10),0,0
API,Google,0,0,1,5.0,921,5.0,SMS Sent,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,02.Medium,02.Medium,15.0,16.0,0,0,Modified,0.22640521232690172,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,0,6.0,52,2.0,Email Opened,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.025724341650430516,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,8.0,242,1.6,Other,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,02.Medium,01.High,13.0,18.0,0,0,Modified,0.06847170720465924,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,1,4.0,1655,1.33,SMS Sent,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.3735682180043156,Medium (3-10),1,0
API,Google,1,0,0,1.0,255,1.0,Email Bounced,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.060855173569647834,Low (1-2),0,1
Landing Page Submission,Google,0,0,0,5.0,637,2.5,Email Opened,India,IT Projects Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.15500413759872625,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,5.0,104,5.0,Email Opened,India,International Business,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.04668677853895628,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,2.0,93,2.0,Other,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Modified,0.02998135461839817,Low (1-2),0,0
API,Google,0,0,0,2.0,41,2.0,Olark Chat Conversation,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.01854272725368194,Low (1-2),0,0
Landing Page Submission,Direct Traffic,0,0,0,4.0,20,4.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,Modified,0.023447091110971444,Medium (3-10),0,0
Landing Page Submission,Google,0,0,1,3.0,797,3.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,0,Modified,0.1896046760103073,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,1,7.0,1074,3.5,SMS Sent,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,1,SMS Sent,0.2570849831353571,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,1,6.0,958,6.0,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.23930614040600842,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,4.0,906,4.0,SMS Sent,India,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.21834370351748267,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,0,3.0,166,3.0,Converted to Lead,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Modified,0.05080133241153918,Medium (3-10),0,0
API,Olark Chat,0,0,1,6.0,781,2.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,1,Email Opened,0.18608509835962542,Medium (3-10),1,0
API,Google,0,0,1,4.0,343,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.09449856493411267,Medium (3-10),1,0
Landing Page Submission,Google,1,0,0,4.0,231,4.0,SMS Sent,India,Finance Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Modified,0.06986152137933924,Medium (3-10),0,1
Landing Page Submission,Google,1,0,0,2.0,1017,2.0,Email Bounced,India,IT Projects Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,0,Modified,0.23323696394527893,Low (1-2),1,1
API,Olark Chat,0,0,0,4.0,1723,4.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Cities of Maharashtra,02.Medium,02.Medium,13.0,15.0,0,0,Email Opened,0.3980621373054281,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,0,29.0,209,2.9,Page Visited on Website,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Thane & Outskirts,01.High,02.Medium,16.0,16.0,0,1,Modified,0.09085543544298492,High (11+),0,0
Landing Page Submission,Google,0,0,0,6.0,250,6.0,Email Opened,India,IT Projects Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities of Maharashtra,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.08356482936333354,Medium (3-10),0,0
Landing Page Submission,Organic Search,0,0,0,3.0,24,3.0,Converted to Lead,India,Supply Chain Management,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,0,0,Other Metro Cities,01.High,02.Medium,16.0,16.0,0,1,Modified,0.01956508076173716,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,2.0,403,2.0,Email Opened,India,Unknown,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.09817317160036035,Low (1-2),1,0
API,Google,0,0,0,10.0,16,5.0,Email Opened,India,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.03328148241258668,Medium (3-10),0,0
Landing Page Submission,Google,0,0,1,4.0,422,2.0,SMS Sent,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.10473362244149749,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,0,8.0,297,8.0,Email Opened,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Cities of Maharashtra,Unknown,Unknown,14.0,16.0,0,1,Email Opened,0.10342739823602119,Medium (3-10),0,0
API,Google,0,0,1,2.0,803,2.0,SMS Sent,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.1861626128674083,Low (1-2),1,0
Landing Page Submission,Google,0,0,0,4.0,1437,4.0,Page Visited on Website,India,Human Resource Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Thane & Outskirts,Unknown,Unknown,14.0,16.0,0,0,Modified,0.3351496867994888,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,5.0,1464,5.0,SMS Sent,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,0,SMS Sent,0.3458508788469193,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,0,2.0,954,2.0,Page Visited on Website,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,1,Modified,0.21937862694571889,Low (1-2),1,0
Landing Page Submission,Google,0,0,1,4.0,494,4.0,Email Opened,India,Finance Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,0,0,Mumbai,02.Medium,01.High,14.0,18.0,0,0,Email Opened,0.12771457901242328,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,10.0,479,3.33,Email Opened,India,Operations Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,0,1,Email Opened,0.12916497496490897,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,11.0,442,5.5,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.12996642783818324,High (11+),1,0
Landing Page Submission,Other,0,0,0,2.0,368,2.0,Email Opened,India,Marketing Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities of Maharashtra,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.09047409548949364,Low (1-2),1,0
Landing Page Submission,Google,0,0,1,5.0,183,2.5,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,1,SMS Sent,0.05513612176062682,Medium (3-10),0,0
Landing Page Submission,Google,0,0,1,6.0,1332,2.0,Email Opened,India,Supply Chain Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,0,0,Mumbai,01.High,01.High,16.0,18.0,0,0,Email Opened,0.3072905537049839,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,2.0,589,2.0,Converted to Lead,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,Unknown,Unknown,14.0,16.0,0,0,Modified,0.13908826178953762,Low (1-2),1,0
Landing Page Submission,Google,0,0,0,3.0,4,3.0,Email Opened,India,Finance Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities,Unknown,Unknown,14.0,16.0,0,0,Email Opened,0.015165608698384764,Medium (3-10),0,0
